text,Final Label
Covid-19 Pandemic Unemployment Payment for Cross Border Workers,FALSE
Seek Justice for Brutal Massacre of 5 Afro-Colombian Teenagers,FALSE
Ban the Use of Tear Gas on Peaceful Civilians & Protestors,FALSE
COVID-19 : Guarantee people's heat and power,FALSE
Create a COVID-19 testing spot on South Campus,FALSE
Protest Against Covid Return Travellers at Tamworth NSW Australia,FALSE
Close Humber College (COVID-19 / Coronavirus),TRUE
"The IRS Is Holding Thousands Of Falsely Flagged Tax Refunds, During Covid-19 Crisis!!!",FALSE
Henry County Shelter in Place for Covid-19,FALSE
Schools to charge only 50% and No fees for lockdown period. Also No Vaccine No School.,TRUE
Boots to send all non essential staff home amid Covid-19 safety measures,FALSE
Reduce UCI Student Fees During Remote Instruction,FALSE
Government packages and assistance for Music Fraternity in COVID 19 PANDEMIC.,FALSE
Relief Funds for Freelance + Contracted Workers,TRUE
Small Business COVID-19 Support,FALSE
UW Admin create a one-credit class so international students can stay in the US,FALSE
Distinction des cas de Covid-19 entre la Gaspésie et les Iles-de-la-Madeleine,FALSE
Aprite le palestre di arrampicata,FALSE
Stop TFL from removing free travel for under-18s,FALSE
Reduce Canadian Deaths from Covid-19 and Support Canada with Social Distancing and Testing,FALSE
誰ひとり取り残さない。新型コロナウイルスの影響に伴う収入減少に対し、この国に生きる全ての人に所得補償を!,FALSE
Partial refund for 2nd semester fees from Kuwait private schools due to COVID19 closure,TRUE
Postpone Class of 2020 CBE Graduation Ceremonies,FALSE
Tell Doug Ford Critical care is not Elective care. Help our daughter to  get her surgery!,FALSE
COVID-19 outbreak in Clinton County Detention Center,FALSE
DEMAND NCSU to release a statement and action plan to support their international students,FALSE
Resignation of Tedros Adhanom Ghebreyesus - The WHO Director General,FALSE
Justin Trudeau: Do Not Test COVID immunizations on Indigenous Canadians!,FALSE
Set up makeshift crematoriums and designate more burial grounds for COVID victims’ dignity,FALSE
Revoke retroactive fees,FALSE
"Allow students to alter, delay or annul their tenancy agreements because of COVID-19",FALSE
Release Grace from Groves HS from Jail,FALSE
We Want Justice! We Want Peace!,FALSE
"Defy COVID 19: save zoo, stables, farm & stray animal war-refugees in Yemen",FALSE
Close school campuses in Fremont Unified School District to avoid spreading COVID-19,TRUE
Re-classify Fitness Centers as an Essential Business,FALSE
"After serving 25 years , I can die from Covid-19, because I am still incarcerated.",FALSE
Request To Make GMU Fall 2020 Classes Pass/Fail An Option Due to COVID-19,TRUE
CT Students Go Back To School Without Masks or Social Distancing,FALSE
Allow individual water sport participants in South Africa to access the ocean.,FALSE
Cut Carbon Emissions by 50% in 2030 and Reach ZERO emissions by 2050!,FALSE
Demand CA EDD accountability for Unpaid unemployment claims due to Covid 19 measures.,TRUE
Suspend in-person instruction at UC Merced to prevent exposure to COVID-19,FALSE
نطالب وزارة الاتصالات اللبنانية بزيادة سعة الإنترنت وسرعته وتخفيض الأسعار خلال أزمة كورونا,FALSE
Modify SIT's Exam and Grading Policy due to COVID-19,TRUE
CLOSE DOWN ALL EDUCATIONAL INSTITUTIONS!,TRUE
Request CWU To Make Online Classes/Finals Available Due to COVID-19 Deaths In WA State,TRUE
Ensure health workers have enough PPE during Covid-19 to remain safe,FALSE
ECFMG Certification during COVID 19 Crisis,FALSE
Help for Special Needs Family during COVID,FALSE
Demand Louisiana Gov. Edwards take action to reduce the prison population during Covid-19,FALSE
Demand SF City Gov’t Responds To Homeless and Crime CRISIS,FALSE
Stop ICE from sending international students out of the country!,FALSE
Restore Youth Hockey,FALSE
The Ghanaian-Canadian Association of Ontario needs your support!,FALSE
Shut down FISD schools to prevent COVID-19 spreading,TRUE
Hazard pay for X-ray tech at St Mary’s Hospital,FALSE
Declarar pandemia por parte de la OMS | Make official WHO pandemic status - Covid-19,FALSE
UVM students demand partial tuition and housing reimbursement,FALSE
Kids First! Let NM kids practice outdoors sports!,FALSE
Forgive Student Loans for Nurses working during COVID-19,FALSE
WITHDRAW EIA DRAFT 2020,FALSE
#COVID19 CHIEDIAMO CHE TUTTI RESPONSABILI SIANO GIUDICATI DA CORTE INTERNAZIONALE PENALE,FALSE
Nintendo should release Animal Crossing: New Horizons early due to the coronavirus,FALSE
COVID-19 Remembrance and Lessons Learned/COVID-19 Commémoration et Leçons Apprises,FALSE
Close all daycares in British Columbia to stop the spread of COVID-19,TRUE
Close UBC Campus to Prevent the Outbreak of COVID-19,TRUE
Recruitment of Public health officers and public technicians for UHC and prevent COVID 19,FALSE
Federal Student Loan Forgiveness for All,FALSE
Free Ashley Diamond,FALSE
Resignation of Jay Baker,FALSE
Wake up Bihar ( COVID - 19),FALSE
Demand NBC pull Trump Town Hall 10/15,FALSE
Pennsylvania Schools to Void 3/4th Quarter Grading and Allow All Student to Pass 2019/2020,FALSE
Revise Francis Parker School's Covid-19 Teacher Policies,FALSE
Shut Down Illinois Due to the Public Health Threat of Covid-19,TRUE
Cancellation of medical exams covid-19,TRUE
#ShutDownMASS to minimize the spread of coronavirus,TRUE
The University of Michigan community needs a better testing plan,FALSE
Hold Trump Accountable For Misleading Of Covid-19,FALSE
Keep Austin Building Safely During Covid-19 Shelter In Place Order,FALSE
Insurance Companies deny therapy to children for PT/OT/ST during global COVID-19 pandemic.,FALSE
Recognize and Demarcate Orthodontic Procedures Separately from Other Dental Procedures,FALSE
Close BC Schools to slow the spread of COVID-19,TRUE
Postpone/Cancel the AP Inter-board exams.,TRUE
Save EasyJet jobs.,FALSE
Poor street dog raped by strangers during Covid -19 Lockdown,FALSE
Save Manchester's historic Belle Vue Stadium,FALSE
Fermiamo il calcio! [ITA-ENG] ~Covid-19,TRUE
Expand Screening to Stop Covid-19 from Becoming an Epidemic,FALSE
Teachers For Good Trouble - Stop Standardized Testing During COVID-19 Pandemic,TRUE
Stop pig slaughterhouse at Ballymoney NI; save pigs and local community from proposed hell,FALSE
Help the 99% Recover from COVID-19 Crisis,FALSE
"Coordinación supranacional ante el COVID-19
Supranational coordination against COVID-19",FALSE
Suspend Rent and Mortgage payments in California during COVID-19,FALSE
Postponement and/or cancellation of all examinations in light of the COVID-19 Pandemic.,TRUE
Engage for a better world after COVID-19 (#Engage4Better),FALSE
Release low risk delaware prisoners due to covid-19 outbreak,FALSE
"Artists, Creators, Tattooists, Musicians and Sole Traders need your help!",FALSE
Halt the planned cuts to West Sussex Children and Family Centres,FALSE
Revoke CEWS funding from anti-choice and hate groups,FALSE
2020 Graduation after COVID-19,FALSE
Petition for a public enquiry into unlawful Dáil procedure regarding covid 19 legislation.,FALSE
Please change BC COVID 19 testing measures ASAP,FALSE
Government of British Columbia: Do not single out hairstylists in phase two.*,FALSE
No school for all Allen ISD during the Coronavirus (COVID-19) Outbreak,TRUE
Exempt the non-EU students from paying the tuition fee of SS due to the Covid - 19 crisis.,FALSE
40% to 50% REDUCTION IN TUTION FEES,FALSE
BCIT STUDENT’S REFUND DUE THE COVID-19,FALSE
Appeal for Urgent Action on the Attacks Against the CPA and its Leaders,FALSE
#saveProjectSPELL,FALSE
Abolish quarantine rule to enter Sarawak #malaysiaformalaysians,FALSE
SUPPORT CARE HOMES DURING COVID-19 & AFTER,FALSE
Exclude kids from the ‘rule of 6’ law in England.,FALSE
#NUStopOnlineClassesNow #WalangIwananNationalian,TRUE
Hazard Pay for Lassens employees during COVID-19 Outbreak,FALSE
Tell Emory University to stop torturing nonhuman primates!,FALSE
Let foreign doctors help us fight COVID-19!,FALSE
Allow Parents the option to keep children off school during covid 19 crisis,TRUE
CANCEL ICSE BOARD EXAMS 2021 DUE TO COVID-19,TRUE
MAKAUT need to close WB colleges due to effect of COVID-19.,TRUE
UNISA STUDENTS DEMANDING THE REMOVAL OF THE LAST MINUTE IMPLEMENTATION OF THE IRIS SYSTEM!,FALSE
"Change Diet, Save Lives",FALSE
Urgent Government Support For The Hospitality Industry,FALSE
"支持將「中華航空」正名為「台灣航空」Call for Petition of Rectifying “China Airlines” with “Taiwan Airlines""",FALSE
Hazard Compensation For Covid-19 Pandemic,FALSE
Urgent Strict Measures to Counter Coronavirus Spread and Increase Public Education,FALSE
Google: Include the entire Caribbean in YouTube's Partner Program,FALSE
Testing for COVID 19 in NHS medical professionals showing signs and symptoms,FALSE
Close the CUNY Hunter College campus due the spread of COVID-19,TRUE
Allow Visitors for MA Patients During Covid-19,FALSE
S​.​E​.​N Schools to shut in the UK amid Covid 19 outbreak,TRUE
"For Immediate Resignations: Michael Rembis, Debbie Walsh, Gary Kienbaum and Lisa Paulson.",FALSE
Start Community Testing: COVID-19 NEPAL,FALSE
Make sure all staff in hospital have face masks,FALSE
Grant Diploma Privilege for 2020 Texas Law School Graduates,FALSE
Mental Health Stability Amongst Student Body,FALSE
PROTECT INCARCERATED COMMUNITIES FROM COVID-19,FALSE
Keep COVID-19 Arrestees Out of Waiʻanae,FALSE
HAZARD PAY FOR TRANSIT WORKERS,FALSE
An Immediate Decrease in UArts Tuition for 2020-2021,FALSE
Implement COVID-19 Precautionary Measures,FALSE
Close the PA border to people who live out of state.,TRUE
#JusticeforShoni: fix Thembisa Hospital and save lives,FALSE
Immediate Aid Package for San Francisco SMBs (Small and Medium Businesses),FALSE
"Under attack at NYU, Mark Crispin Miller needs your support for academic freedom",FALSE
Allow PAYE freelancers to receive the UK government's COVID-19 self employed grant,FALSE
AN ACCESSIBLE WASHROOM for DISABLED FANS--Toronto Maple Leafs and Raptors,FALSE
Release community custody inmates with 6 months or less on supervision due to COVID-19,FALSE
Support UNPAID Student Nurses helping to fight Covid-19 Pandemic,FALSE
Refund UIC Students for Tuition Costs,FALSE
Close Pratt Institute-Main Campus due to COVID-19 Death in NYC,TRUE
Kitas & Schulen verlässlich öffnen: Bundesweite Bildungs- & Betreuungsgarantie 2021,FALSE
Exception for Drive-In Movie Theatres during Covid-19 restrictions.,TRUE
Il vaccino antinfluenzale ha aumentato i rischi da COVID-19?,FALSE
Save Rose of Sharon Korean LTC from for-profit Rykka,FALSE
CAIE should allow Students of Pakistan for Teacher Assessemnt like UK for O/A Level 2021,FALSE
Lower University of New Mexico Fall 2020 Tuition,FALSE
Demanding a Student-Centered Response from SUA to the COVID-19 Epidemic,FALSE
Citizens should be allowed to leave Australia without requiring permission.,FALSE
Grant of RESIDENCE AMNESTY FOR ALL MIGRANT WORKERS CURRENTLY IN NZ.,FALSE
Private daycare/schools to credit/refund parents for service not rendered due to covid-19,FALSE
Separate Muskoka From Simcoe For Covid Response Regions,FALSE
Minimum 3​.​1% Pay Rise to NHS workers.,FALSE
Equal Government Support for Newly Self Employed - Covid 19,FALSE
Allow a nominated family member to enter care homes during a lockdown the same as staff do,FALSE
Retain contract pharmacists in Ministry of Health (MOH)!,FALSE
Bengaluru Green Cover reduced from 70% to 3%.   SAVE Bengaluru's TREES!   STOP ECOCIDE!,FALSE
"Dear PIAA, Please Do Not Terminate Our Sports Seasons!",FALSE
Expand Unemployment Insurance Eligibility for Education Support Professionals,FALSE
To include Traditional and Complementary Medicine (T&CM) as essential service,FALSE
Reduce the cost of paying for online education in Cyprus (during the COVID-19 quarantine),TRUE
WIRED not Wireless; NO HOTSPOTS or Antennas added to CA Schools during COVID-19,FALSE
"Governor Greg Abbott: Suspend Rent, Mortgage, & Utility Payments During Covid-19 crisis",FALSE
Open Rhode Island & End All Executive Orders May 9th.,FALSE
Postpone Oklahoma State University Spring 2020 Commencement,TRUE
"Save Our Studios.
Reclassify dance studios in the California Covid re-opening strategy.",TRUE
RRISD Students Request Covid Safe Traditional Graduation Ceremony,FALSE
Suspend rent and mortgage payments during Covid 19 pandemic South Africa,FALSE
Locals Only Recreation Initiative for Placer and Nevada Counties,FALSE
Directors to be equally helped Just as self employed have been.,FALSE
Allow Nursing Students to graduate despite clinical hours,FALSE
Pass the bill to prohibit child marriage in the Philippines. #ENDChildMarriage,FALSE
Petition for MIT Administration to Take Action against On-Campus Spread of COVID-19,FALSE
Change the inhuman Care Home Covid visiting restrictions,FALSE
Support Cheerleaders and Dance in 2021,FALSE
Financial compensation(hazard pay) for essential workers during covid-19,FALSE
Save Gymnastics Clubs in Ontario!,FALSE
#cancelboardexams,TRUE
Ask Gov. DeSantis to Stop the unfair treatment of Vacation Rentals!,FALSE
Place a moratorium on 1080 poisoned food drops & divert funds to save lives from COVID-19,FALSE
American Airlines Should Waive ALL  Change/Cancellation Fees Amidst COVID-19 Outbreak!,TRUE
To Stop COVID-19: Contact Trace and Test!,FALSE
HELP IRANIANS TO RECEIVE MEDICAL SUPPLIES TO FIGHT COVID-19,FALSE
Get Covid-19 Vaccines for Doctors,FALSE
Allow F-1 and M-1 students with valid visas to stay in the United States,FALSE
"Northern and southern European countries solidarity, opinions of non-political citizens",FALSE
Cancel 2021 CBSE Board exams due to COVID-19,TRUE
Canadian Federal Government: Give More Support to Canadian Airlines and their Employees,FALSE
Universal living wage for all ad-hoc agency workers during the covid-19 crisis,FALSE
Brainware University need to close College due to effect of COVID-19.,TRUE
Whittier Council Member Jessica Martinez: Recuse Yourself from Immigrant Relief Lawsuit,FALSE
Allow parents to temporarily home educate without being penalised during Covid-19 outbreak,FALSE
There will be a day AFTER COVID-19.  Help us change the way leaders lead.  Everywhere.,FALSE
Close Madison City Schools due to COVID-19,TRUE
Mthuli Ncube to remove 2% charge from all electronic money transactions #Covid-19 period,FALSE
Partially Refund Loughborough University Tuition Fees,FALSE
Proper equipments and facilities for Arunachal Pradesh to tackle Covid-19,FALSE
Humber College should reduce tuition fees for classes recently made online due to COVID-19,TRUE
South Dakota State University pass or fail students -COVID-19,TRUE
Tim Walz: Support to-go wine & beer sales for the restaurant industry during COID-19,FALSE
Demanding permanent employment for contract workers in M'sia Gov! #WeAreFrontliners,FALSE
Rescind the Acceptance of racist Drew Dollar into LSU,FALSE
Postpone All Entrances and ExamsDuring Current Situation of Covid-19.,TRUE
We Texans demand that Ted Cruz resign.,FALSE
LET US IN! Adjust The Nursing Home Visitation Policy due to Covid 19,FALSE
COVID-19 Landlord Support,FALSE
Cancellation of STPM Semester 2 examination 2020,TRUE
Immediate & Unconditional Release of Jawar Mohammed & All Oromo Political Prisoners,FALSE
Close non essential warehouses Covid-19,TRUE
Revise the Academic Calendar & Suspend the Online Classes throughout COVID-19 crisis,FALSE
ASHA dues should be WAIVED for 2020!,FALSE
Cancellation of Lebanese Official Exams for 2020/إلغاء الإمتحانات الرسمية اللبنانية ل-٢٠٢٠,TRUE
Hazard pay for essential employees working with the public during the covid-19 pandemic.,FALSE
Stop children being weighed in school without parental consent,FALSE
Allow Visitors for Covid-19 Patients,FALSE
Exigimos acciones de control y salud en la Reserva Natural de La Parguera,FALSE
Get CoVID Vaccines to Nepal ASAP and prevent a humanitarian disaster,FALSE
Compensate Essential Workers,FALSE
Amend Recent COVID-19 Restrictions for Personal Care Services in London-Middlesex from,TRUE
Petition against COVID-19 & Quarantine Bill: Say NO! to abuse of power and human rights.,FALSE
KCL Has Coronavirus Case: Petition to Have Online Classes by March 9th,TRUE
School safety.,TRUE
NCAA Covid-19 Eligibility Relief,FALSE
RI State schools to STOP charging campus fees when classes are online.,TRUE
Let these military pets come home!,FALSE
Texas State: Cancel all online class fees.,TRUE
Vermeiden von Pandemien - Schließung chinesischer Tiermärkte,TRUE
Help SJSU Students Cancel Their Lease at The Grad in the Middle of COVID-19 Outbreak!,TRUE
Suspend mortgage and rent payments during Covid-19 crisis in New Jersey,FALSE
COVID-19 Response to Support Families with Disabled Children,FALSE
Save Roma St Parklands,FALSE
Guarantee UEA Final Year Students A Graduation Ceremony,TRUE
Uber’s “ Clean Air Fee” to be paid to Uber Drivers as Emergency Situation ( COVID-19 ),FALSE
End Brookings City Council COVID Policies,TRUE
Make Google Education Services available for Iran,FALSE
Queens Park Allotment Covid-19,FALSE
Close UO Eugene Campus due to COVID-19 Death in Washington and New Cases,TRUE
Life-saving measures to protect Louisiana Prisoners from COVID-19,FALSE
Require Face Masks in Idaho Shared Public Spaces,FALSE
Give Stanford Graduate Students Housing Flexibility w/COVID-19 Concerns,TRUE
Allow International Students to stay in the U​.​S. even with institutions going online,TRUE
Close schools over coronovirus,TRUE
Tax relief for key worker during Covid-19 crisis,FALSE
Grant all illegal migrants leave to remain in Ireland.,TRUE
Allow Dorset Council powers to limit tourists and protect our local NHS from a second wave,TRUE
Bring back the six sports impacted by the St. Edward's University Athletics budget cuts,TRUE
Break due to the Pandemic,TRUE
Don’t forget Ltd company business owners during COVID-19,FALSE
Provisional licenses for eligible  teens in MA who are affected by COVID-19 shut down.,TRUE
EUA Approval From FDA For Rapid COVID-19 Tests,FALSE
STOP oil drilling in The Bahamas,FALSE
Delay reopening of Arkansas Public Schools because of COVID-19. Protect our children!,TRUE
LockdownPakistan- economic losses now or disastrous economic and human losses later?,TRUE
Protect pregnant healthcare workers in the UK from COVID-19,FALSE
Save Altitude Trampoline Park in Spokane Valley,TRUE
Hazard Pay for Security Officers as Fontliners during COVID-19 Pandemic,FALSE
Heritage Golf & Country Club - don’t kill beloved local kangas!,FALSE
Covid-19 shouldn't stop academic Justice,TRUE
Tell Jim Justice to lock down West Virginia,TRUE
GDC & CoreCivic Prisons Covid Release Must Happen Immediately: Save Our Loved Ones!!!,FALSE
Bring back some flight services to Queenstown,TRUE
Governor Raimondo: Allocate federal COVID-19 relief funds to save RI small businesses NOW.,FALSE
CANCELLATION OF DU EXAMINATIONS,TRUE
"Covid-19 Support for Entrepreneurs, Consultants & Gig Economy & Part-time Workers",FALSE
Open Smaller Gyms in Ontario,TRUE
Les 10 réclamations urgentes pour lutter plus efficacement contre le COVID-19 en Belgique,FALSE
Let 27 North Residents Cancel Their Lease Contracts Amid COVID-19,TRUE
Faith in our ADOM Schools,FALSE
CoronaVirus - Coventry University deadline extension,TRUE
To get the Summit Athlete Gift-Bags,FALSE
"Cheerleading,  Dance and amateur sports clubs to be included in Covid 19 Announcements",FALSE
University of San Diego changes courses to online due to the spread of COVID-19,TRUE
Father is dying from Covid19 & Plasma is his only hope and hospital won’t give it to him!,FALSE
Stop companies Profiteering from £120 Private Covid-19 Testing!,FALSE
Suspend Mortgage & Rent Payments in Maryland During COVID-19,TRUE
Yoga Studios Are Not Gyms,FALSE
"Save the dagwood dog guy,",FALSE
Stop all animal transports during covid-19,TRUE
"ОСТАНОВИТЬ РЕПРЕССИИ, ОСВОБОДИТЬ ПОЛИТЗАКЛЮЧЕННЫХ И  ЗАДЕРЖАННЫХ ПО ПОЛИТИЧЕСКИМ МОТИВАМ",FALSE
Ensuring the safety and Respect of healthcare professionals in current pandemic scenario,FALSE
Indiana for the Safe Return to Schools,TRUE
Close Chipotle during COVID-19,TRUE
Keep children out of school during the COVID-19 crisis,TRUE
Save the fitness Industry from the economic effect of Covid 19,FALSE
Petition to Reopen NYS Gymnastics Clubs,TRUE
Implement a No Detriment Policy for University of the West of England,TRUE
"Suspend rent, mortgage and utilities bill of Texas",FALSE
Ontario MRTs/DMSs united to get the respect/recognition we deserve. COVID-19 Pandemic Pay,FALSE
#CancelofflineexamsinKA,TRUE
Spotlight on NJ Unemployment Lag during Covid-19 Shutdown!,TRUE
SAVE THE CUNY STUDENTS,TRUE
Urging the CSWE to reconsider field practice hour waiver due to the government shutdowns,TRUE
McConnell and Schumer: Make it Monthly Stimulus Checks & Support the #PeoplesStimulus,FALSE
NSFAS should provide students with Laptops to study during this pandemic of COVID 19,TRUE
Declare Digital Learning plan for Education deprived school children of Rural Maharashtra,FALSE
No to abandonment,FALSE
NJ edTPA COVID-19: WAIVE edTPA for Fall 2020 Graduates,TRUE
National Poetry Library SOS #NPLSOS,FALSE
Make Ryerson courses pass/fail,FALSE
Petition for PDPU to take prevention against COVID 19,TRUE
GOVERNMENTS TO BAN ALL WET MARKETS-STOP ANOTHER COVID 19 OUTBREAK,TRUE
"Gov. Kemp, Save Lives, Let Our Cities Mask!",FALSE
No Colleges until Zero Covid Case in the State or until Vaccines are out,TRUE
Stop Sussex from Sacking their Staff! Covid-19,TRUE
PROTECT  OREGON  INMATES  FROM  CORONAVIRUS (COVID19),FALSE
Contra o FIM da Saúde Pública Federal no Rio de Janeiro,TRUE
A year tax free after the pandemic for all key workers who had to work through covid 19,FALSE
KEEP GYMS OPEN IN CT,TRUE
President Rule in Bihar,FALSE
Make Covid19 tests available to care staff working with vulnerable elderly people in care,FALSE
Open Outdoor Youth Sports Activities in Massachusetts,TRUE
Travel Ban on US & Europe,TRUE
Make all UWL (online next because of Covid-19) classes pass or fail for this semester,TRUE
Ask Concordia University to Suspend All In-Person Instruction,TRUE
Major retail chains should provide free home delivery to those most at risk from Covid-19.,TRUE
"Continue to Subsidize Child Care, in Texas, during the Covid 19 pandemic",FALSE
Advice the government of Botswana to temporarily close down schools amid covid 19 outbreak,TRUE
COVID BCG Vaccine must start in countries with highest cases of infections NOT in Africa.,FALSE
Governor Jay Inslee to forgive Rent/Mortgage in Washington State for 90 days,FALSE
ATTN Governor Baker- Open Mass Training studios and Personal Training Safely ASAP,FALSE
Pace University Petition - COVID-19 Pandemic,TRUE
Pay NYC substitute para professionals during COVID-19 School Closures,TRUE
A plea to the Universities during the time of this Pandemic,TRUE
CARTA PELOS POBRES!,FALSE
NO NASHVILLE GOP CONVENTION,TRUE
Support BGU Students during Covid-19,FALSE
HELP NS Veterinary Clinics Stay Open‼️,FALSE
SNP MP Margaret Ferrier resign after travelling to London with a positive COVID test,TRUE
Start drive-through community-based COVID-19 assessment centres provided by our Labs!,FALSE
Promotion Of AKTU College Students to Next Semester Without Exam.,TRUE
"Guarantee PPE availability for healthcare workers, both in government and private sector",FALSE
University of Guelph COVID-19 - Move Classes Online,TRUE
Get Finals Moved to Online Due to Corona Virus (COVID-19),TRUE
“Freeze Rent and Mortgages during Covid-19”,TRUE
UVM COVID 19 Protocol,FALSE
Compensate Fees after Closure of Universities due to Covid-19 Pandemic,TRUE
No MAGA Mural in Petaluma!,TRUE
"Petition to Freeze Rent, Mortgage, & Utility Bills During Covid-19 Pandemic",TRUE
Utah: Require Insurers to Pay COVID-19 Business Interruption Claims for Restaurants,TRUE
Halt all catalogs sent through USPS for the 3 weeks leading up to the election,TRUE
Shut down TORONTO COVID-19,TRUE
"Partial tuition refund for students at Greengates, due to online classes.",TRUE
Fund & Restore the SBA EIDL to help small businesses and gig workers affected by COVID-19.,FALSE
No Karnataka CET in July,TRUE
PETITION FOR ACADEMIC EASE,TRUE
Demand Adequate Pay for Actra Toronto Members Completing Required COVID Testing,FALSE
Protest against petroleum fuel price hike in India,TRUE
Objection to Notice dt-12th Feb 2021 issued by Panvel Municipality for Property tax,FALSE
Allow cancer patients to access treatment and clinical trials - please do not donate,FALSE
Cancel Deanza Classes Amid Coronavirus Outbreak (COVID-19),TRUE
Reopen pools now,TRUE
Cancel B Tech Exams for intermediate semesters -KTU,TRUE
LET US PLAY,FALSE
Stop the deportation of Australian mothers and their children into abusive situations,FALSE
AMEND the Law Indicating 3% Philhealth Premiums for Physicians and 0​.​5% Yearly Increase,FALSE
Re-enact mandatory indoor masking as a basic public health measure.,FALSE
Reschedule Class of 2020 Events!,TRUE
Pass/Fail Grading Option at the University of South Carolina for this Semester,TRUE
Addison Davis must RESIGN Immediately,FALSE
Haramkan penggunaan dan penjualan rokok elektronik dan vape di Malaysia,FALSE
Pelo Lockdown em TODAS cidades com +150​.​000 habitantes,TRUE
Clemency for Bryon Russ,FALSE
"Moderna, Pfizer, and CureVac: Ensure we can end the Pandemic. Help others produce Vaccine",FALSE
Stop travel to rural holiday destinations in UK during Covid-19,TRUE
Cerrar canal de SOY DAVID SHOW por violar cuarentena COVID-19,FALSE
"Build bike lanes on Bloor, Danforth & Yonge now",FALSE
REISEWARNUNG AUFHEBEN! - Mallorca is NO RISK zone.,TRUE
